round,map50_mean,map50_95_mean,precision_mean,recall_mean,f1_mean,loss_mean
1,0.1383384772744432,0.08154663533833673,0.8108931111077821,0.11432291666666666,0.1149233473190267,0.8616614937782288
1,0.1383384772744432,0.08154663533833673,0.8108931111077821,0.11432291666666666,0.1149233473190267,0.8616614937782288
1,0.5850743340902268,0.3721162637980939,0.661733494022068,0.5303848654564202,0.48626242215919874,0.4149256646633148
2,0.3326946401089475,0.2027941573606098,0.38314493912094916,0.35086212800284955,0.21127292413255983,0.6673053503036499
3,0.40904463439186334,0.2619305263043886,0.43020890639249937,0.4120053755146619,0.3150690132555072,0.590955376625061
4,0.4572605598493813,0.3007775382739244,0.6513205200257987,0.41550711790180217,0.3723163493044376,0.5427394509315491
1,0.20096990426353972,0.12042368516595121,0.8109954225861199,0.15713060045860017,0.1595828843434844,0.7990301251411438
2,0.14851642735839954,0.07864211580305554,0.8931198602566309,0.1585075844461035,0.14913635559604463,0.8514835834503174
1,0.20096990426353972,0.12042368516595121,0.8109954225861199,0.15713060045860017,0.1595828843434844,0.7990301251411438
2,0.14851642735839954,0.07864211580305554,0.8931198602566309,0.1585075844461035,0.14913635559604463,0.8514835834503174
1,0.6355500186943412,0.40761109257858347,0.6453340516918351,0.5188199395912739,0.5111384969515376,0.36444997787475586
2,0.5600758803262957,0.3471403815908379,0.49892987060075794,0.45296573342087587,0.40364503444411653,0.43992412090301514
3,0.6344108002987046,0.4042863439626706,0.5357512591120089,0.6106197055266851,0.5440399067205419,0.3655892014503479
4,0.7053119380364201,0.45712715062091186,0.6375408521391512,0.6742442698980418,0.6457332155054224,0.29468807578086853
5,0.7142804866141341,0.4570664140689226,0.6438289767386312,0.6909562820500389,0.6612969865113754,0.28571951389312744
1,0.8897889735584734,0.6435352755120547,0.8572799684527521,0.8656728011932509,0.858238997884099,0.11021102964878082
2,0.8198582414204554,0.5284693815035697,0.794597604417306,0.7450080665719523,0.7244589552033951,0.18014176189899445
3,0.8614771951383056,0.5715192267011504,0.8332251727390827,0.8385793241891533,0.8056235866804617,0.13852280378341675
4,0.8890000543750557,0.6105343427343155,0.8919012331741176,0.8372156049924029,0.8452839451041135,0.1109999492764473
1,0.785090415635214,0.543825149761003,0.7860803684323227,0.501157824410779,0.44965210091946883,0.21490958333015442
2,0.26982570944136575,0.13481579498441404,0.6855078800417201,0.21122895704089703,0.18486826948092117,0.7301743030548096
1,0.844861226817565,0.609845122388399,0.8601373144441047,0.6908529411872617,0.6925169165081012,0.1551387757062912
2,0.5125573535338137,0.3073957531886843,0.6200886068096827,0.4175301931100821,0.35613881173229633,0.48744264245033264
1,0.8770494665925506,0.6557922332716375,0.7571768755387389,0.8226448550468572,0.7647739256678423,0.12295053154230118
2,0.7613819633419444,0.4947731159435708,0.8462634603315516,0.6349376383257812,0.6161638334975543,0.23861803114414215
1,0.8770494665925506,0.6557922332716375,0.7571768755387389,0.8226448550468572,0.7647739256678423,0.12295053154230118
1,0.7492955893511645,0.5100823405223999,0.770619381277356,0.612693481735506,0.591347708872539,0.25070440769195557
2,0.16601974135330408,0.07714597343664001,0.7551448185748159,0.1064813923822733,0.11411430265087442,0.8339802622795105
1,0.7547454171090824,0.5071181100028124,0.8237582689272603,0.5577653594874342,0.5018749061073753,0.24525457620620728
2,0.0,0.0,0.0,0.0,0.0,1.0
1,0.758785111684878,0.5364090363966365,0.7324607082903697,0.7209790278454906,0.6967912432673056,0.24121488630771637
2,3.2403862800675735e-05,5.857841318669907e-06,4.5262522631261315e-05,0.0125,9.019843656043287e-05,0.9999675750732422
1,0.758785111684878,0.5364090363966365,0.7324607082903697,0.7209790278454906,0.6967912432673056,0.24121488630771637
2,0.0002662364159680719,6.592271658643933e-05,0.00016967366099202534,0.1,0.00033877251425667656,0.9997337460517883
1,0.758785111684878,0.5364090363966365,0.7324607082903697,0.7209790278454906,0.6967912432673056,0.24121488630771637
1,0.758785111684878,0.5364090363966365,0.7324607082903697,0.7209790278454906,0.6967912432673056,0.24121488630771637
1,0.758785111684878,0.5364090363966365,0.7324607082903697,0.7209790278454906,0.6967912432673056,0.24121488630771637
1,0.758785111684878,0.5364090363966365,0.7324607626871192,0.7209791235003672,0.6967913223221577,0.24121488630771637
2,0.758785111684878,0.5364090363966365,0.7324607626871192,0.7209791235003672,0.6967913223221577,0.24121488630771637
1,0.9866441512286427,0.7791285334349956,0.9782735269057705,0.9625801779599585,0.9689385274960188,0.013355848379433155
1,0.10099419391111131,0.05828424679374973,0.6993626344045532,0.10572916666666667,0.08418230367753465,0.8990058302879333
2,0.14046636002779903,0.08952079858075598,0.7863070031321107,0.13489583333333333,0.13015799394434682,0.8595336675643921
1,0.741113722081882,0.5449952651750433,0.6309633333939939,0.6865478340164171,0.6423412923446203,0.25888627767562866
1,0.741113722081882,0.5449952651750433,0.6309633333939939,0.6865478340164171,0.6423412923446203,0.25888627767562866
1,0.741113722081882,0.5449952651750433,0.6309633333939939,0.6865478340164171,0.6423412923446203,0.25888627767562866
2,0.8820620086361903,0.6743025576976913,0.8253371465612016,0.8210523653992812,0.8071889181618368,0.11793798953294754
3,0.9436459129131167,0.723598682657194,0.9375363945041146,0.8981217573665504,0.9162330104749428,0.056354086846113205
4,0.9597679010877106,0.7349946753648056,0.9272154080877806,0.9258919067666581,0.9248797970196295,0.0402320995926857
5,0.9679830205924238,0.7597591543123963,0.9320948601772108,0.931053840541534,0.9265963998972467,0.03201697766780853
1,0.741113722081882,0.5449952651750433,0.6309633333939939,0.6865478340164171,0.6423412923446203,0.25888627767562866
2,0.8820620086361903,0.6743025576976913,0.8253371465612016,0.8210523653992812,0.8071889181618368,0.11793798953294754
